BWV 807,https://music-emo.s3-ap-southeast-1.amazonaws.com/BWV+807.mp3,1,3,5
Canon in D,https://music-emo.s3-ap-southeast-1.amazonaws.com/Canon+in+D.mp3,1,4,4
Chopin C sharp,https://music-emo.s3-ap-southeast-1.amazonaws.com/Chopin+C+sharp.mp3,1,-2,1
Chopin E flat,https://music-emo.s3-ap-southeast-1.amazonaws.com/Chopin+E+flat.mp3,1,5,8
KV 265,https://music-emo.s3-ap-southeast-1.amazonaws.com/KV+265.mp3,1,4,4
La Campanella,https://music-emo.s3-ap-southeast-1.amazonaws.com/La+Campanella.mp3,1,4,9
La plus que lente,https://music-emo.s3-ap-southeast-1.amazonaws.com/La+plus+que+lente.mp3,1,2,5
None shall sleep,https://music-emo.s3-ap-southeast-1.amazonaws.com/None+Shall+Sleep.mp3,1,1,4
The Blue Danube,https://music-emo.s3-ap-southeast-1.amazonaws.com/The+Blue+Danube.mp3,1,5,10
The Swan,https://music-emo.s3-ap-southeast-1.amazonaws.com/The+swan.mp3,1,4,6
Trumpet Voluntary,https://music-emo.s3-ap-southeast-1.amazonaws.com/Trumpet+Voluntary.mp3,1,3,5
Turkish March,https://music-emo.s3-ap-southeast-1.amazonaws.com/Turkish+March.mp3,1,5,9
Brahms Lullaby,https://music-emo.s3-ap-southeast-1.amazonaws.com/Brahms+Lullaby.mp3,1,3,3
Clair De Lune,https://music-emo.s3-ap-southeast-1.amazonaws.com/Clair+De+Lune.mp3,1,1,6
Moonlight Sonata,https://music-emo.s3-ap-southeast-1.amazonaws.com/Moonlight+Sonata.mp3,1,-4,7
Love’s Sorrow,https://music-emo.s3-ap-southeast-1.amazonaws.com/Love's+Sorrow.mp3,1,3,6
Minuet in G major,https://music-emo.s3-ap-southeast-1.amazonaws.com/Minuet+in+G+major.mp3,1,3,5
Prelude and Fugue,https://music-emo.s3-ap-southeast-1.amazonaws.com/Prelude+and+Fugue.mp3,1,1,5
Sonata No.17 in D minor,https://music-emo.s3-ap-southeast-1.amazonaws.com/Sonata+No.17+in+D+Minor.mp3,1,-3,8
Standchen,https://music-emo.s3-ap-southeast-1.amazonaws.com/Standchen.mp3,1,-1,5
A Comme Amour,https://music-emo.s3-ap-southeast-1.amazonaws.com/A+Comme+Amour.mp3,2,-3,3
Always with Me,https://music-emo.s3-ap-southeast-1.amazonaws.com/Always+With+Me.mp3,2,3,3
Castle in the sky,https://music-emo.s3-ap-southeast-1.amazonaws.com/Castle+in+the+Sky+Piano.mp3,2,-3,1
da yu,https://music-emo.s3-ap-southeast-1.amazonaws.com/da+yu.mp3,2,-2,2
Despacito,https://music-emo.s3-ap-southeast-1.amazonaws.com/Despacito.mp3,2,3,7
Kiss the rain,https://music-emo.s3-ap-southeast-1.amazonaws.com/Kiss+the+Rain.mp3,2,-2,2
My heart will go on,https://music-emo.s3-ap-southeast-1.amazonaws.com/my+heart+will+go+on.mp3,2,2,4
Pirates of the Caribbean,https://music-emo.s3-ap-southeast-1.amazonaws.com/Pirates+of+the+Caribbean.mp3,2,4,10
Remember me,https://music-emo.s3-ap-southeast-1.amazonaws.com/remember+me.mp3,2,-2,6
Rhapsody in Blue,https://music-emo.s3-ap-southeast-1.amazonaws.com/Rhapsody+in+Blue.mp3,2,1,5
River Flows in You,https://music-emo.s3-ap-southeast-1.amazonaws.com/River+Flows+in+You.mp3,2,2,3
summer,https://music-emo.s3-ap-southeast-1.amazonaws.com/summer.mp3,2,5,5
This is the moment,https://music-emo.s3-ap-southeast-1.amazonaws.com/This+is+the+moment.mp3,2,2,3
Three Inches Of Heaven,https://music-emo.s3-ap-southeast-1.amazonaws.com/Three+Inches+Of+Heaven.mp3,2,-3,3
Spirited Away Theme,https://music-emo.s3-ap-southeast-1.amazonaws.com/Spirited+Away+Theme.mp3,2,-2,4
Melody of the Night 5,https://music-emo.s3-ap-southeast-1.amazonaws.com/Melody+of+the+Night+5.mp3,2,-3,3
When Love Became The Past,https://music-emo.s3-ap-southeast-1.amazonaws.com/When+Love+Became+The+Past.mp3,2,-4,3
Mariage D’amour,https://music-emo.s3-ap-southeast-1.amazonaws.com/Mariage+D'amour.mp3,2,-4,2
Those Bygone Years,https://music-emo.s3-ap-southeast-1.amazonaws.com/Those+Bygone+Years.mp3,2,-2,4
Farewell,https://music-emo.s3-ap-southeast-1.amazonaws.com/Farewell.mp3,2,-4,2
Almost a Whisper,https://music-emo.s3-ap-southeast-1.amazonaws.com/Yanni+-+Almost+a+Whisper.mp3,3,1,4
Blue,https://music-emo.s3-ap-southeast-1.amazonaws.com/Yanni+-+Blue.mp3,3,3,6
Breathe,https://music-emo.s3-ap-southeast-1.amazonaws.com/Yanni+-+Breathe.mp3,3,2,5
Butterfly dance,https://music-emo.s3-ap-southeast-1.amazonaws.com/Yanni+-+Butterfly+Dance.mp3,3,5,7
Enchantment,https://music-emo.s3-ap-southeast-1.amazonaws.com/Yanni+-+Enchantment.mp3,3,4,6
Farewell(Yanni),https://music-emo.s3-ap-southeast-1.amazonaws.com/Yanni+-+Farewell.mp3,3,-4,6
If I could Tell you,https://music-emo.s3-ap-southeast-1.amazonaws.com/Yanni+-+If+I+Could+Tell+You.mp3,3,-3,8
In the Mirror,https://music-emo.s3-ap-southeast-1.amazonaws.com/Yanni+-+In+the+Mirror.mp3,3,3,7
In The Morning Light,https://music-emo.s3-ap-southeast-1.amazonaws.com/Yanni+-+In+The+Morning+Light.mp3,3,2,6
In Your Eyes,https://music-emo.s3-ap-southeast-1.amazonaws.com/Yanni+-+In+Your+Eyes.mp3,3,3,6
Marching Season,https://music-emo.s3-ap-southeast-1.amazonaws.com/Yanni+-+Marching+Season.mp3,3,0,10
Nightingale,https://music-emo.s3-ap-southeast-1.amazonaws.com/Yanni+-+Nightingale.mp3,3,2,7
Nostalgia,https://music-emo.s3-ap-southeast-1.amazonaws.com/Yanni+-+Nostalgia.mp3,3,-2,9
One Man's Dream,https://music-emo.s3-ap-southeast-1.amazonaws.com/Yanni+-+One+Man's+Dream.mp3,3,1,6
The Flame Within,https://music-emo.s3-ap-southeast-1.amazonaws.com/Yanni+-+The+Flame+Within.mp3,3,0,5
The Mermaid,https://music-emo.s3-ap-southeast-1.amazonaws.com/Yanni+-+The+Mermaid.mp3,3,-2,7
The rain must fall,https://music-emo.s3-ap-southeast-1.amazonaws.com/Yanni+-+The+Rain+Must+Fall.mp3,3,4,7
To the one who knows,https://music-emo.s3-ap-southeast-1.amazonaws.com/Yanni+-+To+The+One+Who+Knows.mp3,3,3,5
When Dreams Come True,https://music-emo.s3-ap-southeast-1.amazonaws.com/Yanni+-+When+Dreams+Come+True.mp3,3,2,6
Whispers in the Dark,https://music-emo.s3-ap-southeast-1.amazonaws.com/Yanni+-+Whispers+in+the+Dark.mp3,3,1,5